"Organization","Indicator Type","Tier","Indicator ID","Indicator Name","Description","Measurement Methods","Category","Pillar","Source","Priority","Collective Impact","Workplan Integration Example","Reporting Guidance","Tier Feedback"
"Victoria Faulkner Women's Centre","Strategic Compliance","Tier 2","t2","% of projects serving Indigenous communities that are culturally appropriate","Percentage of funded GBV projects that report delivering culturally appropriate resources and supports for Indigenous communities.","Strategic compliance indicator","WGED Compliance","Pillar 6","WGED-Specific Indicators (from NAP Prev/VicServices TPAs)","N/A","Strategic leverage for territorial compliance","Incorporate cultural protocols (e.g., smudging, Elders) into drop‑in services and support groups; use a checklist","Count the number of programs meeting cultural criteria and summarise feedback from participants","No feedback provided"
"Victoria Faulkner Women's Centre","Strategic Compliance","Tier 2","t6","Enhanced funding for existing partners - prevention","This targeted fund is available to the organizations that receive annual funding from WGED and will support the enhancement of existing GBV or the creation of new GBV initiatives such as public awareness campaigns, engagement with men and boys, Indigenous-led prevention programs.","Strategic compliance indicator","NAP Bilateral","Pillar 2","YG-Federal NAP GBV Bilateral (July 2025)","N/A","Strategic leverage for territorial compliance","Allocate prevention funding to specific campaigns or workshops (e.g., 16 Days of Activism); identify measurable outputs such as number of events or materials distributed","Keep records of events, participants and materials distributed; conduct a brief post‑event survey and report the number of respondents and percentage indicating increased awareness","No feedback provided"
"Victoria Faulkner Women's Centre","Strategic Compliance","Tier 2","t7","Enhanced funding for existing partners - victim supports","This targeted fund is available to the organizations that receive annual funding from WGED. This fund will support the enhancement of existing GBV initiatives or the creation of new GBV initiatives focused on supports for victims, survivors and their families.","Strategic compliance indicator","NAP Bilateral","Pillar 1","YG-Federal NAP GBV Bilateral (July 2025)","N/A","Strategic leverage for territorial compliance","Use new funds to extend drop‑in hours or hire a part‑time counsellor","Track expenditure categories and compare service usage before and after the enhancement; describe the impact in narrative reports","No feedback provided"
"Victoria Faulkner Women's Centre","Strategic Compliance","Tier 2","t11","Provide funding to assist the transition homes","Provide funding to assist the transition homes in addressing capacity and to enhance existing or create new initiatives in response to GBV.","Strategic compliance indicator","NAP Bilateral","Pillar 5","YG-Federal NAP GBV Bilateral (July 2025)","N/A","Strategic leverage for territorial compliance","Offer on‑site workshops (e.g., healthy relationships, financial literacy) or donate supplies to transition homes","Log workshop dates, topics and participant numbers and report donations made","No feedback provided"
"Victoria Faulkner Women's Centre","Strategic Compliance","Tier 2","t15","Support for Justice-Involved Individuals","Make various resources and programs available to justice-involved people in facility-and community-based corrections to facilitate healing from trauma related to gender-based violence and achieve successful reintegration.","Strategic compliance indicator","NAP Bilateral","Pillar 3","YG-Federal NAP GBV Bilateral (July 2025)","N/A","Strategic leverage for territorial compliance","Log each client interaction related to court or child‑protection cases","Maintain a confidential spreadsheet with date, type of support and outcome; report aggregate numbers and share a de‑identified example","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI040","Collective Impact Measurement Framework","Constitutions Analysis","Existing operational data","Innovation trackers","Tier 3","Constitutions Analysis","10","Demonstrates coordinated sector impact rather than individual efforts","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI001","Cross-Sector Collaboration Index","Annex D","Existing operational data","System barrier documenters","Tier 3","Annex D","9","Shows coordinated response capacity rather than fragmented services - powerful funding argument","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI007","Survivor Satisfaction & Service Quality","Gaps Analysis Annex D","Existing operational data","Equity gap identifiers","Tier 3","Gaps Analysis Annex D","9","Aggregate satisfaction shows sector-wide service quality and trust building","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI011","Intersectional Service Inclusion","Constitutions Analysis","Existing operational data","Equity gap identifiers","Tier 3","Constitutions Analysis","9","Shows sector serving all populations - critical for federal compliance","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI035","Policy Influence and Systems Change","Survey Data","Existing operational data","System barrier documenters","Tier 3","Survey Data","9","Shows sector creating systemic change - powerful leverage argument","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI037","Service Integration Effectiveness","Interviews & Surveys","Existing operational data","System barrier documenters","Tier 3","Interviews & Surveys","9","Shows seamless service delivery rather than fragmented support","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI003","Public Awareness of GBV Levels","Annex D","Existing operational data","Prevention reach extenders","Tier 3","Annex D","8","Aggregate awareness metrics demonstrate sector-wide prevention effectiveness","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI029","Community-Led Prevention Initiative Impact","Bilateral","Existing operational data","Prevention reach extenders","Tier 3","Bilateral","8","Shows community ownership of prevention - sustainable impact","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI012","Prevention Education in Schools","Survey Data","Existing operational data","Prevention reach extenders","Tier 3","Survey Data","7","Demonstrates prevention reaching next generation - long-term impact","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
"Victoria Faulkner Women's Centre","Collective Impact","Tier 3","SI032","Peer Support Program Effectiveness","Survey Data","Existing operational data","Innovation trackers","Tier 3","Survey Data","7","Demonstrates survivor-led approaches and peer empowerment","N/A - Collective impact indicators","N/A - Collective impact indicators","No feedback provided"
